in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,852.25706,0,852.25706,1031.31934,0,1031.31934,0,0,852.25706,0,852.25706,1031.31934,0,1031.31934
SOFA,-122,-47,122,-47,122,47,-122,47,497.6975402832031,175.7447509765625,253.69754028320312,175.7447509765625,253.69754028320312,81.74475097656249,497.6975402832031,81.74475097656251
SOFA,-122,-47,122,-47,122,47,-122,47,162.75607299804685,179.90970993041992,162.7560729980469,-64.09029006958009,256.75607299804693,-64.09029006958006,256.7560729980468,179.90970993041992
TABLE,-44.95,-44.95,44.95,-44.95,44.95,44.95,-44.95,44.95,291.99818115234376,-45.09126437902451,381.89818115234374,-45.09126437902451,381.89818115234374,44.8087356209755,291.99818115234376,44.8087356209755
TABLE,-44.95,-44.95,44.95,-44.95,44.95,44.95,-44.95,44.95,340.5903747558594,-41.582854700088504,430.49037475585936,-41.582854700088504,430.49037475585936,48.3171452999115,340.5903747558594,48.3171452999115
SEATING,-36.5,-43,36.5,-43,36.5,43,-36.5,43,465.9174209556017,-177.62004226239,519.7920272336099,-128.36025340383316,461.7599472084608,-64.89153915850844,407.88534093045257,-114.15132801706527
SEATING,-27.5,-26.5,27.5,-26.5,27.5,26.5,-27.5,26.5,636.5139770507812,-508.5325012207031,636.5139770507812,-453.5325012207031,583.5139770507812,-453.5325012207031,583.5139770507812,-508.5325012207031
SEATING,-27.5,-26.5,27.5,-26.5,27.5,26.5,-27.5,26.5,636.6979370117188,-373.1492614746094,636.6979370117188,-318.1492614746094,583.6979370117188,-318.1492614746094,583.6979370117188,-373.1492614746094
TABLE,-75,-75,75,-75,75,75,-75,75,606.2813110351562,-494.6980895996094,606.2813110351562,-344.6980895996094,456.28131103515625,-344.6980895996094,456.28131103515625,-494.6980895996094
SEATING,-27.5,-26.5,27.5,-26.5,27.5,26.5,-27.5,26.5,634.4956665039062,-439.5984802246094,634.4956665039062,-384.5984802246094,581.4956665039062,-384.5984802246094,581.4956665039062,-439.5984802246094
DECORATION,-75,-100,75,-100,75,100,-75,100,481.9441223144531,-84.14902687072757,481.9441223144531,65.85097312927243,281.9441223144531,65.85097312927249,281.9441223144531,-84.14902687072751
SOFA,-122,-47,122,-47,122,47,-122,47,572.67333984375,-52.359008789062514,572.67333984375,191.6409912109375,478.67333984375006,191.6409912109375,478.67333984374994,-52.359008789062486
