in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,534.9111,0,534.9111,534.6045799999999,0,534.6045799999999,0,0,534.9111,0,534.9111,534.6045799999999,0,534.6045799999999
SOFA,-91,-45,91,-45,91,45,-91,45,177.3412628173828,-70.32869720458983,-4.6587371826171875,-70.32869720458986,-4.6587371826171875,-160.32869720458984,177.3412628173828,-160.32869720458984
RADIATOR,-30,-5,30,-5,30,5,-30,5,-123.66334533691406,-597.9336547851562,-63.66334533691406,-597.9336547851562,-63.66334533691406,-587.9336547851562,-123.66334533691406,-587.9336547851562
RADIATOR,-30,-5,30,-5,30,5,-30,5,411.2277526855469,-175.41209411621094,411.2277526855469,-115.41209411621094,401.2277526855469,-115.41209411621094,401.2277526855469,-175.41209411621094
SOFA,-91,-45,91,-45,91,45,-91,45,-123.66757965087893,-99.3321990966797,-123.66757965087888,-281.3321990966797,-33.66757965087888,-281.3321990966797,-33.667579650878935,-99.33219909667967
TABLE,-60.15,-24.85,60.15,-24.85,60.15,24.85,-60.15,24.85,-3.529795074462889,-254.04949340820312,116.77020492553712,-254.04949340820312,116.77020492553712,-204.34949340820313,-3.529795074462889,-204.34949340820313
LIGHTING,-28,-28,28,-28,28,28,-28,28,-46.23078536987305,-418.3515930175781,9.769214630126953,-418.3515930175781,9.769214630126953,-362.3515930175781,-46.23078536987305,-362.3515930175781
LIGHTING,-6.05,-6.05,6.05,-6.05,6.05,6.05,-6.05,6.05,-45.36631088256836,-529.0431640625,-33.26631088256836,-529.0431640625,-33.26631088256836,-516.9431640625,-45.36631088256836,-516.9431640625
LIGHTING,-6.05,-6.05,6.05,-6.05,6.05,6.05,-6.05,6.05,-33.266310882568355,-529.0431640625,-21.166310882568357,-529.0431640625,-21.166310882568357,-516.9431640625,-33.266310882568355,-516.9431640625
LIGHTING,-28,-28,28,-28,28,28,-28,28,145.2117462158203,-422.66796875,201.2117462158203,-422.66796875,201.2117462158203,-366.66796875,145.2117462158203,-366.66796875
SOFA,-91,-45,91,-45,91,45,-91,45,-25.51081909713048,-597.9235827393227,156.4891809028695,-597.9235852294272,156.48918213423985,-507.92358522942726,-25.510817865760117,-507.92358273932274
TABLE,-60.15,-24.85,60.15,-24.85,60.15,24.85,-60.15,24.85,119.41592636108399,-426.043798828125,-0.8840736389160142,-426.043798828125,-0.8840736389160142,-475.743798828125,119.41592636108399,-475.743798828125
