in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,1228.51069,0,1228.51069,504.02786000000003,0,504.02786000000003,0,0,1228.51069,0,1228.51069,504.02786000000003,0,504.02786000000003
SOFA,-110.5,-45.5,110.5,-45.5,110.5,45.5,-110.5,45.5,108.80113220214844,-527.2345275878906,329.80113220214844,-527.2345275878906,329.80113220214844,-436.2345275878906,108.80113220214844,-436.2345275878906
SOFA,-110.5,-45.5,110.5,-45.5,110.5,45.5,-110.5,45.5,448.7210388183594,-435.2120056152344,448.7210388183594,-214.21200561523438,357.7210388183594,-214.21200561523438,357.7210388183594,-435.2120056152344
TABLE,-87.5,-45,87.5,-45,87.5,45,-87.5,45,603.4833374023438,-205.76278686523438,603.4833374023438,-380.7627868652344,693.4833374023438,-380.7627868652344,693.4833374023438,-205.76278686523438
