in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,689,0,689,874.15302,0,874.15302,0,0,689,0,689,874.15302,0,874.15302
STORAGE_FURNITURE,-42.8,-14.1,42.8,-14.1,42.8,14.1,-42.8,14.1,281.48998413085934,224.83729858398436,281.4899841308594,310.4372985839844,253.28998413085938,310.4372985839844,253.28998413085935,224.8372985839844
SOFA,-121.25,-79.45,121.25,-79.45,121.25,79.45,-121.25,79.45,-407.4303161621093,-179.61236572265622,-407.4303161621094,-422.11236572265625,-248.53031616210941,-422.11236572265625,-248.53031616210933,-179.61236572265628
SEATING,-36.5,-40.5,36.5,-40.5,36.5,40.5,-36.5,40.5,-121.22037573354662,-490.4498049151609,-87.08077774170422,-425.92471019260046,-158.6771157215315,-388.04378639343287,-192.8167137133739,-452.5688811159933
SEATING,-36.5,-40.5,36.5,-40.5,36.5,40.5,-36.5,40.5,-60.89121994803768,-307.92657454643404,-60.891220237509195,-234.92657454643404,-141.8912202375092,-234.92657486762846,-141.89121994803767,-307.92657486762846
TABLE,-90,-45,90,-45,90,45,-90,45,-263.52027893066406,-249.03009033203125,-263.52027893066406,-429.03009033203125,-173.52027893066403,-429.03009033203125,-173.5202789306641,-249.03009033203125
DECORATION,-65,-1.75,65,-1.75,65,1.75,-65,1.75,-407.49395751953125,-168.5015106201172,-407.49395751953125,-298.5015106201172,-403.99395751953125,-298.5015106201172,-403.99395751953125,-168.5015106201172
DECORATION,-40,-1,40,-1,40,1,-40,1,-407.4302978515625,-401.8558654785156,-407.4302978515625,-481.8558654785156,-405.4302978515625,-481.8558654785156,-405.4302978515625,-401.8558654785156
DECORATION,-7.2,-7.2,7.2,-7.2,7.2,7.2,-7.2,7.2,260.68504028320314,-89.33841247558594,275.0850402832031,-89.33841247558594,275.0850402832031,-74.93841247558593,260.68504028320314,-74.93841247558593
DECORATION,-3.5,-3.5,3.5,-3.5,3.5,3.5,-3.5,3.5,268.6626892089844,-239.78309631347656,275.6626892089844,-239.78309631347656,275.6626892089844,-232.78309631347656,268.6626892089844,-232.78309631347656
DECORATION,-3.5,-3.5,3.5,-3.5,3.5,3.5,-3.5,3.5,254.814697265625,-242.14039611816406,261.814697265625,-242.14039611816406,261.814697265625,-235.14039611816406,254.814697265625,-235.14039611816406
DECORATION,-8,-7.9,8,-7.9,8,7.9,-8,7.9,258.489990234375,-183.73186340332032,274.489990234375,-183.73186340332032,274.489990234375,-167.9318634033203,258.489990234375,-167.9318634033203
DECORATION,-8,-7.9,8,-7.9,8,7.9,-8,7.9,258.489990234375,-208.5988525390625,274.489990234375,-208.5988525390625,274.489990234375,-192.7988525390625,258.489990234375,-192.7988525390625
DECORATION,-8,-7.9,8,-7.9,8,7.9,-8,7.9,259.57037353515625,-147.09627380371094,275.57037353515625,-147.09627380371094,275.57037353515625,-131.29627380371093,259.57037353515625,-131.29627380371093
DECORATION,-9.7,-8.5,9.7,-8.5,9.7,8.5,-9.7,8.5,255.289990234375,-95.25904846191406,274.689990234375,-95.25904846191406,274.689990234375,-78.25904846191406,255.289990234375,-78.25904846191406
DECORATION,-20.35,-4.95,20.35,-4.95,20.35,4.95,-20.35,4.95,-334.2236694335937,-493.2429931640625,-374.9236694335938,-493.2429931640625,-374.9236694335938,-503.1429931640625,-334.2236694335937,-503.1429931640625
DECORATION,-20.35,-4.95,20.35,-4.95,20.35,4.95,-20.35,4.95,-105.53630981445312,-500.59300537109374,-64.83630981445313,-500.59300537109374,-64.83630981445313,-490.69300537109376,-105.53630981445312,-490.69300537109376
TABLE,-57.5,-57.2,57.5,-57.2,57.5,57.2,-57.5,57.2,22.412887573242188,-185.5921203613281,137.4128875732422,-185.5921203613281,137.4128875732422,-71.19212036132812,22.412887573242188,-71.19212036132812
SEATING,-28,-29,28,-29,28,29,-28,29,45.77946472167969,-201.91729736328125,101.77946472167969,-201.91729736328125,101.77946472167969,-143.91729736328125,45.77946472167969,-143.91729736328125
SEATING,-28,-29,28,-29,28,29,-28,29,114.64659881591797,-56.513946533203125,58.64659881591797,-56.513946533203125,58.64659881591797,-114.51394653320312,114.64659881591797,-114.51394653320312
SEATING,-28,-29,28,-29,28,29,-28,29,154.64185333251953,-159.93121337890625,154.64185333251953,-103.93121337890624,96.64185333251952,-103.93121337890626,96.64185333251955,-159.93121337890625
SEATING,-28,-29,28,-29,28,29,-28,29,5.8132788267495705,-98.89876066866165,3.320681493562507,-154.84325958083878,61.26319822403168,-157.42487824735397,63.75579555721875,-101.48037933517683
STORAGE_FURNITURE,-60,-12.5,60,-12.5,60,12.5,-60,12.5,222.1937255859375,370.989990234375,102.1937255859375,370.989990234375,102.1937255859375,345.989990234375,222.1937255859375,345.989990234375
LIGHTING,-12,-12,12,-12,12,12,-12,12,160.89759826660156,370.989990234375,136.89759826660156,370.989990234375,136.89759826660156,346.989990234375,160.89759826660156,346.989990234375
SEATING,-87.5,-20.5,87.5,-20.5,87.5,20.5,-87.5,20.5,281.48999023437506,-476.7410888671875,281.48999023437494,-301.7410888671875,240.48999023437497,-301.7410888671875,240.48999023437503,-476.7410888671875
