in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,631.64456,0,631.64456,316.44464,0,316.44464,0,0,631.64456,0,631.64456,316.44464,0,316.44464
SOFA,-91,-45,91,-45,91,45,-91,45,462.547119140625,247.8031463623047,462.547119140625,65.80314636230467,552.547119140625,65.8031463623047,552.547119140625,247.8031463623047
STORAGE_FURNITURE,-75.25,-20.35,75.25,-20.35,75.25,20.35,-75.25,20.35,855.3252197265625,97.30314636230469,855.3252197265625,247.8031463623047,814.6252197265625,247.8031463623047,814.6252197265625,97.30314636230469
