in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,1721.10023,0,1721.10023,2630.46777,0,2630.46777,0,0,1721.10023,0,1721.10023,2630.46777,0,2630.46777
STORAGE_FURNITURE,-77.5,-22.5,77.5,-22.5,77.5,22.5,-77.5,22.5,-178.972900390625,-79.98999786376953,-23.972900390625,-79.98999786376953,-23.972900390625,-34.98999786376953,-178.972900390625,-34.98999786376953
DECORATION,-65,-1.75,65,-1.75,65,1.75,-65,1.75,-210.3329010009766,-122.40521032920199,-210.33290100097653,7.594789670798001,-213.83290100097653,7.594789670798001,-213.8329010009766,-122.40521032920199
DECORATION,-65,-1.75,65,-1.75,65,1.75,-65,1.75,-36.63323211669922,-80.00000000000001,-166.63323211669922,-79.99999999999999,-166.63323211669922,-83.49999999999999,-36.63323211669922,-83.50000000000001
DECORATION,-65,-1.75,65,-1.75,65,1.75,-65,1.75,-166.43766324165998,-34.97999572753906,-36.437663241659976,-34.97999572753906,-36.437663241659976,-31.479995727539062,-166.43766324165998,-31.479995727539062
DECORATION,-65,-1.75,65,-1.75,65,1.75,-65,1.75,7.382665634155255,7.616431743109942,7.382665634155292,-122.38356825689006,10.882665634155291,-122.38356825689006,10.882665634155256,7.616431743109942
