in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,568.30972,0,568.30972,538.26713,0,538.26713,0,0,568.30972,0,568.30972,538.26713,0,538.26713
SOFA,-99,-48.5,99,-48.5,99,48.5,-99,48.5,139.48541259765625,-717.3502197265625,337.48541259765625,-717.3502197265625,337.48541259765625,-620.3502197265625,139.48541259765625,-620.3502197265625
SOFA,-99,-48.5,99,-48.5,99,48.5,-99,48.5,48.03404998779294,-414.1595458984375,48.034049987793,-612.1595458984375,145.034049987793,-612.1595458984375,145.03404998779294,-414.1595458984375
