in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,623.84259,0,623.84259,535.24937,0,535.24937,0,0,623.84259,0,623.84259,535.24937,0,535.24937
SOFA,-146,-76.8,146,-76.8,146,76.8,-146,76.8,559.1666137695312,-328.51513671875,559.1666137695313,-620.51513671875,712.7666137695313,-620.51513671875,712.7666137695312,-328.51513671875
STORAGE_FURNITURE,-80,-20.9,80,-20.9,80,20.9,-80,20.9,957.6247924804687,-551.37939453125,957.6247924804687,-391.37939453125,915.8247924804688,-391.37939453125,915.8247924804688,-551.37939453125
STORAGE_FURNITURE,-90,-17.5,90,-17.5,90,17.5,-90,17.5,957.6248168945312,-391.369384765625,957.6248168945312,-211.369384765625,922.6248168945312,-211.369384765625,922.6248168945312,-391.369384765625
