in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,1021.7576399999998,0,1021.7576399999998,997.7485000000001,0,997.7485000000001,0,0,1021.7576399999998,0,1021.7576399999998,997.7485000000001,0,997.7485000000001
TABLE,-90,-45,90,-45,90,45,-90,45,5857.9174454690565,-2407.7526483837896,5683.874112363098,-2361.829688969481,5660.9126326559435,-2448.8513555224604,5834.955965761902,-2494.774314936769
SEATING,-26.5,-27.5,26.5,-27.5,26.5,27.5,-26.5,27.5,6015.204933437567,-1865.5621110115069,6020.538094184426,-1918.2931018655402,6075.258933749933,-1912.7586897697431,6069.925773003074,-1860.0276989157098
SEATING,-26.5,-27.5,26.5,-27.5,26.5,27.5,-26.5,27.5,6009.721046718817,-1811.3455582771319,6015.054207465676,-1864.0765491311652,6069.775047031183,-1858.5421370353681,6064.441886284324,-1805.8111461813348
SEATING,-26.5,-27.5,26.5,-27.5,26.5,27.5,-26.5,27.5,6081.2879409826055,-1972.3091045642582,6134.018931855649,-1966.97594400535,6128.4845199548945,-1912.2551044201168,6075.753529081851,-1917.588264979025
SEATING,-26.5,-27.5,26.5,-27.5,26.5,27.5,-26.5,27.5,6164.393211268164,-1898.9166485321039,6159.060050131422,-1846.1856577175029,6104.339210606836,-1851.7200702178961,6109.672371743578,-1904.4510610324971
SOFA,-71.2,-43.4,71.2,-43.4,71.2,43.4,-71.2,43.4,5884.86796875,-2166.16005859375,5742.46796875,-2166.16005859375,5742.46796875,-2252.96005859375,5884.86796875,-2252.96005859375
STORAGE_FURNITURE,-60,-17.5,60,-17.5,60,17.5,-60,17.5,5735.009367905921,-1754.6058027762836,5615.693943054257,-1767.4053884128145,5619.427155531579,-1802.2057206612164,5738.742580383243,-1789.4061350246855
SEATING,-30.45,-37.15,30.45,-37.15,30.45,37.15,-30.45,37.15,5959.587127707083,-2510.332854580458,6001.414798746817,-2466.069371488954,5947.411895730417,-2415.038239169542,5905.584224690683,-2459.301722261046
SOFA,-71.2,-43.4,71.2,-43.4,71.2,43.4,-71.2,43.4,5521.858141859147,-2234.1545021918064,5504.740780759851,-2375.521952296123,5590.911389390853,-2385.9558493706936,5608.028750490149,-2244.588399266377
