in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,564.35284,0,564.35284,382.63851,0,382.63851,0,0,564.35284,0,564.35284,382.63851,0,382.63851
SOFA,-130.3,-83.7,130.3,-83.7,130.3,83.7,-130.3,83.7,746.973139286137,545.4196199997361,486.37315214623163,545.5014899034675,486.320561885738,378.1014981643264,746.9205490256434,378.019628260595
TABLE,-94.7,-49.9,94.7,-49.9,94.7,49.9,-94.7,49.9,182.6390808105469,322.29692993164065,372.03908081054686,322.29692993164065,372.03908081054686,422.0969299316406,182.6390808105469,422.0969299316406
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,205.40104064941406,272.4869323730469,260.20104064941404,272.4869323730469,260.20104064941404,322.28693237304685,205.40104064941406,322.28693237304685
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,292.7303100585938,272.4869018554688,347.5303100585937,272.4869018554688,347.5303100585937,322.2869018554687,292.7303100585938,322.2869018554687
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,244.20409550798448,491.522637300522,192.2458524388432,474.104802269496,208.07446894514052,426.887274808853,260.0327120142818,444.305109839879
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,346.85077583697074,471.85195690272155,292.10853104413115,474.3672372133079,289.822747112248,424.61972278477845,344.5649919050876,422.1044424741921
