in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,438,0,438,430.86688,0,430.86688,0,0,438,0,438,430.86688,0,430.86688
SEATING,-25,-23,25,-23,25,23,-25,23,184.74441528320312,372.4864501953125,134.74441528320312,372.4864501953125,134.74441528320312,326.4864501953125,184.74441528320312,326.4864501953125
SEATING,-25,-23,25,-23,25,23,-25,23,124.88435363769531,372.4864501953125,74.88435363769531,372.4864501953125,74.88435363769531,326.4864501953125,124.88435363769531,326.4864501953125
