in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,485.35362,0,485.35362,958.8182400000001,0,958.8182400000001,0,0,485.35362,0,485.35362,958.8182400000001,0,958.8182400000001
RADIATOR,-40,-7.5,40,-7.5,40,7.5,-40,7.5,-476.2574768066406,445.4488220214844,-476.2574768066406,365.4488220214844,-461.2574768066406,365.4488220214844,-461.2574768066406,445.4488220214844
RADIATOR,-40,-7.5,40,-7.5,40,7.5,-40,7.5,-476.2574768066406,511.18133544921875,-476.2574768066406,431.18133544921875,-461.2574768066406,431.18133544921875,-461.2574768066406,511.18133544921875
