in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,1099.10804,0,1099.10804,908.48613,0,908.48613,0,0,1099.10804,0,1099.10804,908.48613,0,908.48613
SEATING,-27.7,-28.6,27.7,-28.6,27.7,28.6,-27.7,28.6,714.8892402781192,375.33667907714846,659.4892402781192,375.33667907714846,659.4892402781192,318.1366790771484,714.8892402781192,318.1366790771484
SEATING,-27.7,-28.6,27.7,-28.6,27.7,28.6,-27.7,28.6,759.9392402781191,221.13667907714844,815.3392402781192,221.13667907714844,815.3392402781192,278.33667907714846,759.9392402781191,278.33667907714846
SEATING,-27.7,-28.6,27.7,-28.6,27.7,28.6,-27.7,28.6,815.3392402781193,375.33667907714846,759.9392402781192,375.33667907714846,759.9392402781192,318.1366790771484,815.3392402781193,318.1366790771484
SEATING,-27.7,-28.6,27.7,-28.6,27.7,28.6,-27.7,28.6,659.489240278119,221.13667907714841,714.8892402781191,221.13667907714841,714.8892402781191,278.3366790771484,659.489240278119,278.3366790771484
