in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,585.66806,0,585.66806,389.99998,0,389.99998,0,0,585.66806,0,585.66806,389.99998,0,389.99998
SOFA,-98,-50,98,-50,98,50,-98,50,-403.6263732910156,191.051025390625,-403.6263732910156,-4.948974609374986,-303.6263732910156,-4.948974609375014,-303.6263732910156,191.051025390625
STORAGE_FURNITURE,-70,-17.5,70,-17.5,70,17.5,-70,17.5,-68.5100021362305,32.005462646484375,-68.51000213623044,172.00546264648438,-103.51000213623044,172.00546264648438,-103.5100021362305,32.005462646484375
TABLE,-41.55,-35.75,41.55,-35.75,41.55,35.75,-41.55,35.75,-313.6865966796875,261.46197509765625,-230.5865966796875,261.46197509765625,-230.5865966796875,332.96197509765625,-313.6865966796875,332.96197509765625
