in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,957.53676,0,957.53676,788.9320299999999,0,788.9320299999999,0,0,957.53676,0,957.53676,788.9320299999999,0,788.9320299999999
SOFA,-123.3,-125,123.3,-125,123.3,125,-123.3,125,-47.66650695800783,683.670654296875,-294.2665069580078,683.670654296875,-294.26650695800777,433.670654296875,-47.6665069580078,433.670654296875
STORAGE_FURNITURE,-90,-20,90,-20,90,20,-90,20,-223.36183166503906,289.8694152832031,-43.36183166503906,289.8694152832031,-43.36183166503906,329.8694152832031,-223.36183166503906,329.8694152832031
