in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,515.50762,0,515.50762,491.95859999999993,0,491.95859999999993,0,0,515.50762,0,515.50762,491.95859999999993,0,491.95859999999993
SOFA,-99,-48.5,99,-48.5,99,48.5,-99,48.5,124.10113722730698,5787.8749960487985,-72.75762173005116,5809.10302049218,-83.1572094624144,5712.6621133262015,113.70154949494373,5691.43408888282
TABLE,-70,-45,70,-45,70,45,-70,45,187.35438785793966,5454.524270711313,326.20236006365667,5436.601084210011,337.7244085287791,5525.860494913687,198.8764363230621,5543.783681414989
