in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,613.53503,0,613.53503,1273.2422900000001,0,1273.2422900000001,0,0,613.53503,0,613.53503,1273.2422900000001,0,1273.2422900000001
SOFA,-122,-47,122,-47,122,47,-122,47,4870.6455078125,3862.087646484375,4626.6455078125,3862.087646484375,4626.6455078125,3768.087646484375,4870.6455078125,3768.087646484375
DECORATION,-75,-100,75,-100,75,100,-75,100,4703.40576171875,3768.08251953125,4703.40576171875,3618.08251953125,4903.40576171875,3618.08251953125,4903.40576171875,3768.08251953125
SEATING,-37.5,-39.8,37.5,-39.8,37.5,39.8,-37.5,39.8,4529.30150713562,3720.802700928111,4541.875548356105,3646.8642570211314,4620.34888348938,3660.209506103139,4607.774842268895,3734.1479500101186
SEATING,-37.5,-39.8,37.5,-39.8,37.5,39.8,-37.5,39.8,5004.046587334441,3684.8670548391515,4978.0986083077105,3755.235388515802,4903.414350165559,3727.6959334420985,4929.3623291922895,3657.327599765448
STORAGE_FURNITURE,-100,-22.5,100,-22.5,100,22.5,-100,22.5,4686.38232421875,3447.113525390625,4886.38232421875,3447.113525390625,4886.38232421875,3492.113525390625,4686.38232421875,3492.113525390625
VEGETATION,-34.4,-37.05,34.4,-37.05,34.4,37.05,-34.4,37.05,4561.94033203125,3447.113330078125,4630.74033203125,3447.113330078125,4630.74033203125,3521.213330078125,4561.94033203125,3521.213330078125
