in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,338.21763,0,338.21763,317.76452,0,317.76452,0,0,338.21763,0,338.21763,317.76452,0,317.76452
STORAGE_FURNITURE,-75.25,-20.35,75.25,-20.35,75.25,20.35,-75.25,20.35,743.8917236328125,83.25047149658204,894.3917236328125,83.25047149658204,894.3917236328125,123.95047149658203,743.8917236328125,123.95047149658203
SOFA,-130.3,-83.7,130.3,-83.7,130.3,83.7,-130.3,83.7,911.5239990234375,389.0771667480469,650.9239990234375,389.07716674804686,650.9239990234375,221.67716674804686,911.5239990234375,221.6771667480469
