in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,1134.87812,0,1134.87812,1618,0,1618,0,0,1134.87812,0,1134.87812,1618,0,1618
STORAGE_FURNITURE,-90,-22.5,90,-22.5,90,22.5,-90,22.5,436.0854797363282,246.73887634277344,436.08547973632807,66.73887634277345,481.08547973632807,66.73887634277342,481.0854797363282,246.73887634277344
SOFA,-93.25,-49.55,93.25,-49.55,93.25,49.55,-93.25,49.55,739.8914306640625,63.48887634277342,739.8914306640626,249.98887634277344,640.7914306640625,249.98887634277344,640.7914306640624,63.48887634277345
